@relation '272644L1_2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F3-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsp?acona_sp?acona_cz:dobry,windykacja_windykacja_sp_odmowa:z?y-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsp?acona_sp?acona_cz:dobry,odmowa_windykacja_windykacja_sp:z?y-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_splacona_cz:dobry,odmowa_windykacja_windykacja_sp:z?y-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.6]\'','\'(30.6-43.2]\'','\'(43.2-55.8]\'','\'(55.8-68.4]\'','\'(68.4-inf)\''}
@attribute płeć {kobieta,mężczyzna}
@attribute 'rodzaj źródła dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres dochód (months)' numeric
@attribute 'okres będzie dochód (months)' numeric
@attribute '﻿status pozyczki' {dobry,z?y}

@data
400,'\'(55.8-68.4]\'',kobieta,13,717.96,0,81,48,z?y
200,'\'(68.4-inf)\'',kobieta,13,907,3,234,48,dobry
200,'\'(43.2-55.8]\'',kobieta,11,932.34,5,395,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,810,5,33,48,dobry
200,'\'(30.6-43.2]\'',kobieta,11,2505,1,164,48,dobry
200,'\'(43.2-55.8]\'',kobieta,11,1493.98,4,361,48,dobry
400,'\'(55.8-68.4]\'',kobieta,11,1730.13,3,193,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,1425,0,79,48,dobry
200,'\'(68.4-inf)\'',mężczyzna,13,910.33,4,163,48,dobry
300,'\'(68.4-inf)\'',mężczyzna,13,1180,0,140,48,dobry
400,'\'(30.6-43.2]\'',mężczyzna,98,1256,0,69,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,1442.43,0,141,48,dobry
200,'\'(55.8-68.4]\'',kobieta,17,1100,3,27,6,dobry
400,'\'(43.2-55.8]\'',kobieta,98,3000,1,85,48,dobry
700,'\'(30.6-43.2]\'',kobieta,11,3178.76,0,121,48,dobry
700,'\'(30.6-43.2]\'',kobieta,11,3100,0,121,48,dobry
400,'\'(68.4-inf)\'',kobieta,13,1900,1,121,48,dobry
600,'\'(30.6-43.2]\'',kobieta,11,1443,5,34,48,dobry
200,'\'(-inf-30.6]\'',mężczyzna,12,1521,1,20,10,dobry
400,'\'(55.8-68.4]\'',kobieta,16,1090,0,77,48,z?y
500,'\'(55.8-68.4]\'',mężczyzna,13,1900,5,150,48,dobry
200,'\'(-inf-30.6]\'',mężczyzna,17,728,5,100,30,dobry
200,'\'(43.2-55.8]\'',kobieta,12,984.34,4,18,2,dobry
300,'\'(55.8-68.4]\'',mężczyzna,13,2110,5,101,48,dobry
800,'\'(30.6-43.2]\'',kobieta,11,1682,0,96,48,z?y
200,'\'(55.8-68.4]\'',mężczyzna,12,1033.71,0,8,1,z?y
500,'\'(43.2-55.8]\'',kobieta,11,1800,5,53,48,dobry
300,'\'(30.6-43.2]\'',mężczyzna,12,990.59,0,74,46,z?y
300,'\'(55.8-68.4]\'',mężczyzna,13,1573,0,89,48,dobry
200,'\'(43.2-55.8]\'',kobieta,99,1100,2,52,1,dobry
349.66,'\'(55.8-68.4]\'',mężczyzna,13,1601.87,1,45,48,dobry
300,'\'(55.8-68.4]\'',kobieta,16,634.64,4,136,48,dobry
1000,'\'(30.6-43.2]\'',kobieta,11,2200,0,37,48,dobry
297.86,'\'(-inf-30.6]\'',kobieta,12,1634,3,12,3,dobry
500,'\'(68.4-inf)\'',mężczyzna,13,2112,0,98,48,z?y
800,'\'(55.8-68.4]\'',kobieta,13,5100,0,28,48,dobry
250,'\'(55.8-68.4]\'',kobieta,16,2100,0,39,48,dobry
200,'\'(43.2-55.8]\'',mężczyzna,12,1210,0,7,2,dobry
300,'\'(-inf-30.6]\'',kobieta,12,1500,4,4,1,dobry
300,'\'(-inf-30.6]\'',kobieta,12,1300,4,8,4,dobry
200,'\'(55.8-68.4]\'',kobieta,13,1026,4,55,48,dobry
700,'\'(55.8-68.4]\'',kobieta,13,1400,0,246,48,dobry
500,'\'(68.4-inf)\'',kobieta,13,1536,0,36,48,dobry
395.77,'\'(55.8-68.4]\'',kobieta,13,1668,5,91,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,935,0,132,48,z?y
700,'\'(55.8-68.4]\'',kobieta,13,1872,5,35,48,dobry
500,'\'(-inf-30.6]\'',mężczyzna,11,2327.94,1,35,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,865,5,128,48,dobry
500,'\'(30.6-43.2]\'',kobieta,11,2400,4,113,48,dobry
300,'\'(43.2-55.8]\'',kobieta,11,992.84,5,121,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,992.96,1,12,48,dobry
300,'\'(-inf-30.6]\'',mężczyzna,11,1000,5,57,48,dobry
300,'\'(43.2-55.8]\'',kobieta,12,1000,0,45,24,dobry
300,'\'(43.2-55.8]\'',kobieta,98,911,5,98,48,dobry
200,'\'(30.6-43.2]\'',kobieta,12,1865,2,20,1,dobry
500,'\'(55.8-68.4]\'',mężczyzna,11,2100,4,187,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,984,0,11,48,dobry
200,'\'(55.8-68.4]\'',kobieta,99,780,1,1,2,dobry
500,'\'(55.8-68.4]\'',kobieta,13,815,0,144,48,dobry
400,'\'(30.6-43.2]\'',mężczyzna,11,1058,0,14,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,1244.77,5,39,48,dobry
416.61,'\'(43.2-55.8]\'',mężczyzna,11,2011,0,211,48,dobry
300,'\'(43.2-55.8]\'',kobieta,12,1038.68,1,21,5,dobry
650,'\'(68.4-inf)\'',mężczyzna,13,1519,0,254,48,dobry
200,'\'(43.2-55.8]\'',kobieta,16,749.28,5,65,48,dobry
399.66,'\'(30.6-43.2]\'',kobieta,11,1239.05,2,204,48,dobry
347.63,'\'(55.8-68.4]\'',mężczyzna,13,1500,5,23,48,dobry
479.15,'\'(55.8-68.4]\'',mężczyzna,11,1250,0,65,48,dobry
292.57,'\'(43.2-55.8]\'',mężczyzna,11,2100,2,38,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,1167.94,0,369,48,dobry
275.97,'\'(30.6-43.2]\'',kobieta,11,1000,0,61,48,dobry
500,'\'(30.6-43.2]\'',mężczyzna,12,2100,0,6,26,z?y
500,'\'(43.2-55.8]\'',kobieta,17,990,1,72,13,dobry
200,'\'(30.6-43.2]\'',mężczyzna,11,1300,5,45,48,dobry
500,'\'(43.2-55.8]\'',mężczyzna,11,2080,1,318,48,dobry
200,'\'(43.2-55.8]\'',mężczyzna,16,1045,4,199,48,dobry
400,'\'(55.8-68.4]\'',mężczyzna,16,1473.04,2,165,48,dobry
300,'\'(68.4-inf)\'',mężczyzna,13,1426,5,77,48,dobry
200,'\'(55.8-68.4]\'',kobieta,98,980,4,10,48,dobry
299.28,'\'(43.2-55.8]\'',kobieta,11,1400,1,161,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,12,670,5,9,2,dobry
300,'\'(43.2-55.8]\'',mężczyzna,11,1360,1,120,48,dobry
400,'\'(30.6-43.2]\'',mężczyzna,11,1850,0,30,48,z?y
200,'\'(-inf-30.6]\'',mężczyzna,12,1100,0,33,26,dobry
200,'\'(30.6-43.2]\'',kobieta,12,980,5,10,5,dobry
300,'\'(55.8-68.4]\'',kobieta,13,1100,2,105,48,dobry
200,'\'(43.2-55.8]\'',kobieta,11,967.64,4,319,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,11,1600,0,342,48,dobry
400,'\'(43.2-55.8]\'',kobieta,12,1000,5,32,2,dobry
400,'\'(55.8-68.4]\'',mężczyzna,12,1000,5,12,2,dobry
582,'\'(55.8-68.4]\'',kobieta,13,3700,5,27,48,dobry
600,'\'(43.2-55.8]\'',kobieta,11,3200,5,54,48,dobry
900,'\'(-inf-30.6]\'',mężczyzna,12,1428,0,2,1,z?y
300,'\'(55.8-68.4]\'',kobieta,13,1031,1,122,48,dobry
1000,'\'(68.4-inf)\'',kobieta,13,2291,2,72,48,dobry
700,'\'(55.8-68.4]\'',kobieta,13,2066,5,130,48,dobry
500,'\'(55.8-68.4]\'',kobieta,13,1310,1,79,48,dobry
700,'\'(-inf-30.6]\'',mężczyzna,12,1036,0,5,4,z?y
200,'\'(55.8-68.4]\'',mężczyzna,13,1287.66,4,97,48,dobry
500,'\'(-inf-30.6]\'',mężczyzna,12,1428,0,2,1,z?y
286.39,'\'(55.8-68.4]\'',kobieta,13,1658,5,30,48,dobry
200,'\'(55.8-68.4]\'',kobieta,16,634,4,52,48,dobry
600,'\'(30.6-43.2]\'',kobieta,11,1540,2,40,48,dobry
200,'\'(43.2-55.8]\'',kobieta,11,1400,5,118,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,1233,4,124,48,dobry
