@relation 272644L1_2-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute 'rodzaj źródła dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres dochód (months)' numeric
@attribute 'okres będzie dochód (months)' numeric
@attribute 'opóźnienie spłaty (dni)' numeric

@data
300,58,kobieta,13,1240,2,71,48,6
800,57,mężczyzna,12,2500,4,6,4,3
500,72,mężczyzna,13,1700,5,15,48,0
300,42,kobieta,11,1286.16,2,118,48,0
500,60,kobieta,13,1000,5,69,48,0
378.91,70,kobieta,13,1291.18,6,80,48,12
400,54,kobieta,12,1700,6,56,0,0
350,73,kobieta,11,1348.95,0,115,48,6
200,20,mężczyzna,17,985,6,14,3,0
200,52,kobieta,16,685,1,42,48,0
600,41,kobieta,98,5000,1,85,48,6
200,68,kobieta,13,1134.96,2,162,48,13
300,78,kobieta,13,1239.98,3,256,48,0
200,43,kobieta,11,1400,0,26,48,0
500,47,mężczyzna,13,864.34,0,157,48,0
350,61,mężczyzna,13,1503,0,167,48,18
300,60,mężczyzna,11,3000,6,213,48,0
400,51,mężczyzna,11,1800,2,260,48,3
600,45,mężczyzna,12,3500,0,188,28,0
200,66,kobieta,13,910,6,71,48,0
200,71,kobieta,13,722.05,5,198,48,0
400,72,mężczyzna,13,1870,1,86,48,1
500,44,kobieta,11,2245.01,0,147,48,4
300,61,kobieta,13,2282,2,26,48,0
500,58,mężczyzna,16,1770,6,90,48,1
367.31,61,kobieta,13,1684,5,21,48,21
700,47,kobieta,12,830.46,4,46,25,1
200,53,mężczyzna,11,2094.17,2,242,48,4
600,61,kobieta,13,1050,6,140,48,0
400,48,kobieta,11,980,1,201,48,0
200,57,mężczyzna,13,12220,4,72,48,8
345.97,54,kobieta,11,1721.7,6,121,48,2
250,51,kobieta,11,1700,5,307,48,2
200,63,kobieta,16,1600,2,25,48,323
200,72,kobieta,13,785,2,65,48,0
500,62,kobieta,13,820,0,32,48,0
300,79,kobieta,13,1442.43,1,142,48,0
200,65,mężczyzna,13,1611,0,142,48,1
290,61,kobieta,13,1280,6,18,48,1
300,45,mężczyzna,11,2100,1,51,48,2
400,66,kobieta,13,850,5,68,48,2
400,59,mężczyzna,13,3900,1,115,48,1
200,25,kobieta,17,1200,6,166,14,0
490,30,mężczyzna,11,2700,1,65,48,1
700,57,mężczyzna,13,3600,0,87,48,0
200,26,kobieta,12,1100,2,16,1,0
200,27,mężczyzna,12,1400,0,2,1,0
500,47,mężczyzna,13,1500,0,87,48,0
500,58,kobieta,13,1883.53,0,48,48,0
500,44,mężczyzna,12,1952.35,1,5,6,5
200,29,mężczyzna,99,1393.85,4,6,0,5249
314.83,35,kobieta,11,2709.34,6,182,48,0
600,39,kobieta,11,1800,1,53,48,18
500,36,mężczyzna,11,3898,1,182,48,6
200,75,kobieta,13,965,5,246,48,0
438.67,50,kobieta,11,1577.42,0,206,48,13
400,60,kobieta,13,1800,0,70,48,0
500,45,kobieta,11,3000,0,94,48,0
200,46,kobieta,12,990.34,0,57,15,12
200,51,kobieta,11,932.34,6,396,48,214
300,46,mężczyzna,11,1566.82,0,350,48,13
200,47,kobieta,11,1493.98,5,362,48,181
200,30,mężczyzna,12,1521,2,21,9,6
200,62,mężczyzna,13,1672.59,0,23,48,13
300,53,mężczyzna,11,1300,0,453,48,0
500,35,mężczyzna,98,1256,0,70,48,291
400,56,kobieta,11,1730.13,4,194,48,18
500,56,mężczyzna,13,1900,6,151,48,4
700,37,kobieta,11,3178.76,1,122,48,4
700,32,kobieta,11,3100,1,122,48,4
600,47,kobieta,11,1700,5,90,48,0
300,63,kobieta,13,1014,0,184,48,0
780,63,kobieta,13,860,0,81,48,6
389.72,52,kobieta,98,3000,2,86,48,0
500,29,kobieta,12,1447,6,23,1,5
200,27,mężczyzna,17,728,6,101,29,3
515.96,58,kobieta,13,1801.41,1,39,48,3
300,60,kobieta,13,810,6,34,48,0
600,49,mężczyzna,11,2500,0,375,48,3
800,61,kobieta,13,5100,1,29,48,0
500,49,kobieta,11,1800,6,54,48,3
400,38,kobieta,11,800.51,0,21,48,332
400,75,kobieta,13,1900,2,122,48,0
428.68,55,mężczyzna,16,588,2,423,48,6
349.66,64,mężczyzna,13,1601.87,2,46,48,2
400,68,mężczyzna,13,1162.41,0,105,48,0
400,44,mężczyzna,12,1963.88,5,7,1,8
200,57,mężczyzna,13,819,0,58,48,0
316.68,43,mężczyzna,98,3178,0,202,48,71
200,57,kobieta,99,780,2,2,1,3
200,53,kobieta,99,1100,3,53,1,0
200,71,kobieta,13,634.64,0,252,48,0
700,59,kobieta,13,1400,1,247,48,0
300,25,mężczyzna,12,1400,0,13,19,6
300,60,kobieta,13,1087,0,72,48,3
400,64,kobieta,13,1507,0,60,48,8
200,61,kobieta,13,992.96,2,13,48,0
300,48,kobieta,11,1077.49,0,373,48,0
200,61,kobieta,13,984,1,12,48,0
300,49,kobieta,11,992.84,6,122,48,2
400,35,mężczyzna,11,1058,1,15,48,0
393.48,63,kobieta,13,1668,6,92,48,0
300,30,mężczyzna,11,1000,6,58,48,9
500,60,mężczyzna,11,2100,5,188,48,0
300,26,mężczyzna,11,1459,3,10,48,13
200,70,kobieta,13,865,6,129,48,0
200,54,kobieta,12,1000,1,46,23,0
300,49,mężczyzna,11,1400,0,15,48,14
200,60,kobieta,13,1026,5,56,48,41
700,58,kobieta,13,1872,6,36,48,1
300,46,kobieta,98,911,6,99,48,2
300,62,kobieta,13,714,0,223,48,0
240,57,kobieta,16,634.64,5,137,48,6
300,46,kobieta,12,1038.68,2,22,4,2
500,64,mężczyzna,13,1530,0,36,48,0
600,80,mężczyzna,13,2547,0,196,48,0
300,22,kobieta,12,1500,5,5,1,0
500,35,kobieta,11,2400,5,114,48,5
249.3,57,kobieta,16,2100,1,40,48,2
300,74,kobieta,13,1536,1,37,48,0
200,42,kobieta,99,2290.55,3,19,1,0
500,31,mężczyzna,11,2180.09,0,51,48,13
500,67,kobieta,13,1431,0,248,48,0
300,79,kobieta,13,1167.94,1,370,48,0
327,52,kobieta,11,2065.98,0,180,48,12
299.23,52,kobieta,11,1400,2,162,48,0
200,50,mężczyzna,16,1045,5,200,48,3
500,69,kobieta,16,1401,0,76,48,0
400,39,mężczyzna,11,1300,0,46,48,0
200,21,mężczyzna,99,1500,0,4,2,0
300,63,kobieta,13,1100,3,106,48,0
300,62,mężczyzna,15,1100.79,1,91,48,0
300,71,mężczyzna,13,1426,6,78,48,0
300,46,mężczyzna,11,1360,2,121,48,0
500,50,kobieta,17,990,2,73,12,0
500,53,mężczyzna,11,2080,0,319,48,0
244.61,62,kobieta,13,1525.46,1,37,48,5
558.03,62,kobieta,13,3700,6,28,48,0
200,56,kobieta,98,980,5,11,48,0
200,26,mężczyzna,12,1100,1,34,25,6
200,53,kobieta,12,984.34,5,19,1,0
300,21,mężczyzna,11,1625,0,24,48,4
281.61,54,mężczyzna,11,2100,3,39,48,5
500,24,mężczyzna,11,2327.94,2,36,48,20
400,65,mężczyzna,16,1473.04,3,167,48,0
300,65,kobieta,13,802.83,0,203,48,3
200,53,kobieta,16,749.28,6,67,48,0
250,21,mężczyzna,12,1500,0,8,0,0
200,31,kobieta,12,980,6,12,3,2
200,40,kobieta,11,2505,0,166,48,2
400,60,kobieta,13,1500,2,62,48,2
800,68,kobieta,13,2120,1,121,48,5
500,41,kobieta,11,1870,0,112,48,10
200,63,kobieta,13,1233,5,125,48,0
477.41,61,mężczyzna,11,1250,1,67,48,10
299.28,70,kobieta,16,1235,1,35,48,270
200,70,mężczyzna,13,1642.87,0,71,48,0
200,58,kobieta,16,634,5,53,48,0
500,61,kobieta,13,1310,2,80,48,3
500,75,mężczyzna,13,1150,0,140,48,23
281.84,46,kobieta,12,1032,6,40,0,8
